project,latest_date_in_dataset
ARMmbed/mbed-ls,2018-04-03
F5Networks/k8s-bigip-ctlr,2018-04-05
Gillespie59/eslint-plugin-angular,2017-06-16
HazyResearch/deepdive,2015-12-30
MITLibraries/topichub,2016-05-05
ManageIQ/ui-components,2018-04-05
Points/PyLCP,2017-03-09
PragTob/benchee,2018-04-04
ShiftForward/apso,2018-03-29
SteamDatabase/ValveResourceFormat,2018-02-11
alibaba/java-dns-cache-manipulator,2017-09-14
bitwalker/timex,2018-02-20
broadinstitute/firecloud-orchestration,2018-04-06
containers/virtcontainers,2018-03-13
coreos/alb-ingress-controller,2018-03-27
dask/dask,2018-04-06
ikawaha/kagome,2018-03-23
ilovepi/Compiler,2017-03-20
mailgun/kafka-pixy,2018-04-03
platinumazure/eslint-plugin-qunit,2018-03-11
spatialmodel/inmap,2018-02-22
terasolunaorg/terasoluna-gfw,2018-03-23
