repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
F5Networks/k8s-bigip-ctlr,cfcab07e63bb31af237a43ebdf1617e5297ddfd5,b4c8bcd07e87660b818af06d581225ec4cd43cf0,(HEAD detached at cfcab07e),1761225637,594,7530,0,0,269,262,0,0,18008,2,0,0,0,4959,41692,23561,23090,32021,31093,0,0,31,11,23,0,1675,1267,9442,39,7501,11454,
F5Networks/k8s-bigip-ctlr,cd23ae9fe412669a995ec322913ec5bc667ea389,5cdc213b603f3ad57f2c6520a2dc08a60ccc1a4b,(HEAD detached at cd23ae9f),1755498504,16,109,0,0,1,1,0,0,360,8,0,0,0,23840,24528,24216,24152,32791,32757,0,0,1,1,0,0,39,2,2,1,65,24,
F5Networks/k8s-bigip-ctlr,5cdc213b603f3ad57f2c6520a2dc08a60ccc1a4b,07768dd15e7a7867866112fed63f82c1d8fe08f0,(HEAD detached at 5cdc213b),1754456234,23,1562,0,0,0,0,0,0,2872,61,0,0,0,21257,27060,24152,24165,32758,32734,0,0,1,0,0,0,32,0,1,0,32,1,
F5Networks/k8s-bigip-ctlr,07768dd15e7a7867866112fed63f82c1d8fe08f0,eb23bcb04161662b29fdd62bf1769490b493a742,(HEAD detached at 07768dd1),1754016456,279,2565,0,0,110,4,0,0,6075,14,0,0,0,17811,30309,24165,23955,32734,32474,0,0,6,4,0,0,390,1530,140,95,2198,246,
F5Networks/k8s-bigip-ctlr,eb23bcb04161662b29fdd62bf1769490b493a742,4215b56d72be98c16732c48c8862e69b7bb93b10,(HEAD detached at eb23bcb0),1753511803,547,728,14,31,5,2,0,0,1799,9,0,0,0,21595,25768,23752,23408,32584,31956,0,1,6,3,0,0,856,1236,15,1,2092,16,
F5Networks/k8s-bigip-ctlr,4215b56d72be98c16732c48c8862e69b7bb93b10,e4595dd46563aa440e519c1fd502393559eb3dd1,(HEAD detached at 4215b56d),1753431561,14,2462,0,0,0,2,0,0,5278,8,0,0,0,18116,28688,23408,23396,31961,31945,0,0,3,1,0,0,25,34,2,0,100,43,
F5Networks/k8s-bigip-ctlr,e4595dd46563aa440e519c1fd502393559eb3dd1,739b1533ec12d7963d1c0ae23aa0b85d1386ecec,(HEAD detached at e4595dd4),1753160816,190,2056,0,0,105,52,0,0,4067,4,0,0,0,19139,27547,23396,23290,31945,31681,1,0,5,4,0,0,471,89,174,46,563,220,
F5Networks/k8s-bigip-ctlr,739b1533ec12d7963d1c0ae23aa0b85d1386ecec,383b7cb7252e831bfc8ace1a4e5ff56e464789ef,(HEAD detached at 739b1533),1752734420,91,2585,100,140,121,94,0,0,3953,11,0,0,0,19146,27365,23290,23221,31786,31487,2,1,8,3,0,0,528,395,272,14,1485,289,
F5Networks/k8s-bigip-ctlr,383b7cb7252e831bfc8ace1a4e5ff56e464789ef,5629bec34dbc6f808d3e1562f42a7b143ae4934c,(HEAD detached at 383b7cb7),1752577065,0,1602,0,0,0,0,0,0,2810,5,0,0,0,20411,26030,23221,23220,31608,31596,0,0,1,0,0,0,12,0,0,0,19,3,
F5Networks/k8s-bigip-ctlr,383b7cb7252e831bfc8ace1a4e5ff56e464789ef,5629bec34dbc6f808d3e1562f42a7b143ae4934c,(HEAD detached at 383b7cb7),1752577065,0,1602,0,0,0,0,0,0,2810,5,0,0,0,20411,26030,23221,23220,31608,31596,0,0,1,0,0,0,12,0,0,0,19,3,
F5Networks/k8s-bigip-ctlr,5629bec34dbc6f808d3e1562f42a7b143ae4934c,af8b31d861b8375ac5ee50bf35799c4dbfadcb2d,(HEAD detached at 5629bec3),1751033474,8,1060,0,0,2,0,0,0,2806,0,0,0,0,20406,26019,23220,23205,31596,31588,0,0,2,0,0,0,11,0,2,0,11,2,
F5Networks/k8s-bigip-ctlr,af8b31d861b8375ac5ee50bf35799c4dbfadcb2d,3f5e0e4e29d426da0cb5352f2ade3616b0fe182f,(HEAD detached at af8b31d8),1751024340,24,1943,0,0,70,10,0,0,5201,11,0,0,0,17980,28475,23205,23250,31590,31573,0,0,3,2,0,0,31,5,80,5,36,85,
F5Networks/k8s-bigip-ctlr,3f5e0e4e29d426da0cb5352f2ade3616b0fe182f,cea7ed5f6fcca7c2291b023a280b0b7254e0178c,(HEAD detached at 3f5e0e4e),1751019123,0,559,0,0,0,4,0,0,1358,8,0,0,0,21892,24594,23250,23236,31643,31616,0,0,1,0,0,0,31,0,4,0,31,4,
F5Networks/k8s-bigip-ctlr,cea7ed5f6fcca7c2291b023a280b0b7254e0178c,6bd4aeb782bcf8b04472ce303b2e60079dd19a56,(HEAD detached at cea7ed5f),1751018139,37,1419,0,0,16,8,0,0,3781,17,0,0,0,19418,27047,23236,23229,31616,31546,0,0,2,0,0,0,88,0,25,0,89,25,
F5Networks/k8s-bigip-ctlr,6bd4aeb782bcf8b04472ce303b2e60079dd19a56,b4c74f484ca3f37402bdfb2e85f0bdeda245ad3e,(HEAD detached at 6bd4aeb7),1751014397,0,0,0,0,0,0,0,0,3,10,0,0,0,23226,23239,23229,23236,31562,31562,0,0,0,0,0,0,0,0,0,0,1,1,
