repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
F5Networks/k8s-bigip-ctlr,200b7346809d2ddf9490d15bf6b2eae2dd144f23,f2188681e7bd7d8a8bdeeb8cbf4b56a43c066d7b,HEAD,1522964389,0,0,0,0,0,0,0,0,0,6,0,0,0,4761,4767,4761,4767,5738,5738,0,0,1,0,0,0,1,0,0,0,65,1,
F5Networks/k8s-bigip-ctlr,f2188681e7bd7d8a8bdeeb8cbf4b56a43c066d7b,b28a64572f0623c2e6d184764eca713fa7e7d12d,HEAD,1522962477,1,14,0,0,1,4,0,0,2,0,0,0,0,4764,4768,4767,4765,5738,5727,0,0,1,0,0,0,15,0,5,0,16,5,
F5Networks/k8s-bigip-ctlr,b28a64572f0623c2e6d184764eca713fa7e7d12d,cf57b34faffe1eb0ac4e79c9caff4b1113dc069a,HEAD,1522885129,0,0,0,0,0,0,0,0,0,2,0,0,0,4765,4767,4765,4767,5728,5728,0,0,0,0,0,0,0,0,0,0,1,1,
F5Networks/k8s-bigip-ctlr,cf57b34faffe1eb0ac4e79c9caff4b1113dc069a,5dec8f3290112a34731ff559cbe22a375ba7ae72,HEAD,1522704075,0,0,0,0,0,0,0,0,0,0,0,0,0,4767,4767,4767,4767,5728,5728,0,0,0,0,0,0,0,0,0,0,878,1,
F5Networks/k8s-bigip-ctlr,5dec8f3290112a34731ff559cbe22a375ba7ae72,306d8d67dd956fcade0e1dffb50561e8fa179e28,HEAD,1522698227,0,0,0,0,0,0,0,0,4,0,0,0,0,4763,4767,4767,4763,5728,5728,0,0,0,0,0,0,0,0,0,0,10,0,
F5Networks/k8s-bigip-ctlr,306d8d67dd956fcade0e1dffb50561e8fa179e28,0afa721cee77f3bc8dd63a884e4b0e4d9a472466,HEAD,1522430524,2,0,0,0,0,0,0,0,9,0,0,0,0,4752,4763,4763,4752,5728,5726,0,0,1,0,0,0,2,0,0,0,2,0,
F5Networks/k8s-bigip-ctlr,0afa721cee77f3bc8dd63a884e4b0e4d9a472466,27ed13e96cc17ab8b3c8df9b6df5d30c9e2f57fc,HEAD,1522362538,6,11,0,0,5,6,0,0,0,4,0,0,0,4746,4761,4752,4755,5726,5715,0,0,1,0,0,0,25,0,11,0,25,11,
F5Networks/k8s-bigip-ctlr,27ed13e96cc17ab8b3c8df9b6df5d30c9e2f57fc,8d6825b1af2eda51cbe0bbe5e9e4666988092819,HEAD,1522337063,5,5,0,0,0,0,0,0,4,7,0,0,0,4746,4762,4755,4753,5720,5710,0,0,3,1,0,0,20,17,0,5,37,5,
F5Networks/k8s-bigip-ctlr,8d6825b1af2eda51cbe0bbe5e9e4666988092819,4a398ef0b02e3d29c402f1714229a26c0fb94c82,HEAD,1522279004,15,0,0,0,5,0,0,0,0,0,0,0,0,4738,4759,4753,4744,5710,5696,0,0,2,0,0,0,22,0,6,0,22,6,
F5Networks/k8s-bigip-ctlr,4a398ef0b02e3d29c402f1714229a26c0fb94c82,4df0527395a5abe640eed81c64cd3fe8fa61133b,HEAD,1522267502,28,4,0,0,15,0,0,0,7,2,0,0,0,4709,4763,4744,4728,5701,5671,0,0,2,5,0,0,45,186,19,100,231,119,
